id_job,id_array_job,id_array_task,id_user,kill_requid,nodes_alloc,nodelist,cpus_req,derived_ec,exit_code,gres_used,array_max_tasks,array_task_pending,constraints,flags,mem_req,partition,priority,state,timelimit,time_submit,time_eligible,time_start,time_end,time_suspended,track_steps,tres_alloc,tres_req,job_type
10064035990594,69004749511577,68,77492909145526,61026541062099,1,['r5189505-n386398'],1,0,0,,0,0,\N,4,9223372036854784308,normal,10118,3,4294967295,1629132821,1629132821,1629140481,1629140895,0,0,"1=1,2=8500,4=1,5=1,1002=2","1=1,2=8500,4=1,5=1,1002=2",OTHER
71507333953784,16618712154521,4294967294,5577359963038,61026541062099,1,['r8939293-n442913'],8,0,0,,0,0,\N,4,9223372036854777708,xeon-p8,10016,3,4300,1631347316,1631347316,1631347541,1631350199,0,0,"1=8,2=15200,4=1,5=8","1=8,2=15200,4=1,5=8",OTHER
81744071663365,43796078332501,44,19060897364461,61026541062099,1,['r5189505-n386398'],1,0,0,,0,0,xeon-g6,4,9223372036854784308,normal,10357,3,4294967295,1614364803,1614364810,1614366765,1614367233,0,0,"1=1,2=8500,4=1,5=1","1=1,2=8500,4=1,5=1",OTHER
32014516844726,16618712154521,4294967294,81345604284490,61026541062099,1,['r9352821-n851693'],40,0,0,,0,0,xeon-g6,4,9223372036854784308,normal,10077,3,4294967295,1622299302,1622299302,1622299302,1622299820,0,0,"1=40,2=340000,4=1,5=40,1002=1","1=40,2=340000,4=1,5=40,1002=1",LLSUB:BATCH
63092001140506,16618712154521,4294967294,91613978413847,61026541062099,1,['r2652301-n386398'],1,0,256,,0,0,xeon-g6,4,10240,normal,10478,5,1440,1618206686,1618206686,1618215679,1618218888,0,0,"1=1,2=10240,4=1,5=1","1=1,2=10240,4=1,5=1",OTHER
80948778357375,16618712154521,4294967294,87256509282194,61026541062099,1,['r3405251-n139058'],21,0,0,,0,0,xeon-g6,8,9223372036854784308,normal,10023,3,525600,1627795262,1627795262,1627843993,1627862052,0,0,"1=21,2=178500,4=1,5=21,1002=1","1=21,2=178500,4=1,5=21,1002=1",OTHER
31788153102258,50000054789022,1742,42770088536256,61026541062099,1,['r2998125-n208530'],20,0,0,,0,0,xeon-g6,4,9223372036854784308,normal,10097,3,4294967295,1612646171,1612646172,1612731942,1612732803,0,0,"1=20,2=170000,4=1,5=20","1=20,2=170000,4=1,5=20",OTHER
80782516309876,16618712154521,4294967294,84137596284317,61026541062099,1,['r7839831-n181711'],20,0,0,,0,0,\N,8,9223372036854779808,xeon-p8,10034,3,525600,1631021779,1631021779,1631153757,1631155016,0,0,"1=48,2=192000,4=1,5=48","1=20,2=80000,4=1,5=20",OTHER
20561415029626,11957105352199,0,19060897364461,19060897364461,1,['r5573787-n386398'],1,0,0,,0,0,xeon-g6,4,9223372036854784308,normal,10381,4,4294967295,1613942263,1613942264,1613942264,1613958918,0,0,"1=1,2=8500,3=18446744073709551614,4=1,5=1","1=1,2=8500,4=1,5=1",OTHER
89093967218518,32716616865493,14958,45487591934198,61026541062099,1,['r1682297-n386398'],1,0,0,,0,0,xeon-g6,4,9223372036854784308,normal,10477,3,4294967295,1615952800,1615952800,1615965962,1615966325,0,0,"1=1,2=8500,4=1,5=1","1=1,2=8500,4=1,5=1",LLSUB:BATCH
27946321734191,67278152106368,185,45487591934198,45487591934198,1,['r7343737-n386398'],1,0,0,,0,0,xeon-g6,4,9223372036854784308,normal,11013,4,4294967295,1615929405,1615929406,1615929410,1615929726,0,0,"1=1,2=8500,3=18446744073709551614,4=1,5=1","1=1,2=8500,4=1,5=1",LLSUB:BATCH
49075760012423,25573722655701,1862,42770088536256,61026541062099,1,['r1682297-n685852'],20,0,0,,0,0,xeon-g6,4,9223372036854784308,normal,10133,3,4294967295,1614129076,1614129086,1614266603,1614266948,0,0,"1=20,2=170000,4=1,5=20","1=20,2=170000,4=1,5=20",OTHER
43719497112810,16618712154521,4294967294,5577359963038,61026541062099,1,['r2652301-n598065'],8,0,0,,0,0,\N,4,9223372036854777708,xeon-p8,10012,3,4300,1631701265,1631701265,1631701269,1631701762,0,0,"1=8,2=15200,4=1,5=8","1=8,2=15200,4=1,5=8",OTHER
