id_job,total_energy_J,idle_energy_J,idle_energy_saving_J,idle_duration_steps,total_steps,idle_pct_energy,idle_duration_min,total_duration_min,potential_saving_J,potential_saving_pct
37280196349358,4088274.484916134,6970.269439126299,3485.1347195631497,16,2076,0.17049416483270413,2.6666666666666665,346.0,3485.1347195631497,0.08524708241635207
37445103896302,6113407.839565234,158712.2116132402,79356.1058066201,504,6304,2.59613321699354,84.0,1050.6666666666667,79356.1058066201,1.29806660849677
37611634321396,12305408.164321817,153863.1661401021,76931.58307005106,586,30336,1.2503702769178475,97.66666666666667,5056.0,76931.58307005106,0.6251851384589238
38512807296879,15226089.636676362,20637.144638724978,10318.572319362489,50,7174,0.13553804772707073,8.333333333333334,1195.6666666666667,10318.572319362489,0.06776902386353537
38602675650074,3979065.00957078,19799.50633124699,9899.753165623495,48,1842,0.49759192884819825,8.0,307.0,9899.753165623495,0.24879596442409913
38984646323185,7972355.986778846,1780.728737113402,890.364368556701,3,3799,0.022336292308904892,0.5,633.1666666666666,890.364368556701,0.011168146154452446
39253819822494,4048046.6527020074,1385.0527614138439,692.5263807069219,4,1951,0.034215335944543596,0.6666666666666666,325.1666666666667,692.5263807069219,0.017107667972271798
39638343415869,16738748.119493013,117734.40164424623,58867.200822123115,243,8508,0.7033644380318939,40.5,1418.0,58867.200822123115,0.35168221901594693
40790250925951,8401853.25053517,8778.72928186454,4389.36464093227,16,4132,0.10448562977823214,2.6666666666666665,688.6666666666666,4389.36464093227,0.05224281488911607
41031149357497,16441967.132369375,1970.9614336090467,985.4807168045234,4,7971,0.01198738215288611,0.6666666666666666,1328.5,985.4807168045234,0.005993691076443055
41474934034878,4175418.9637038587,16898.4570120259,8449.22850601295,38,2038,0.4047128481937034,6.333333333333333,339.6666666666667,8449.22850601295,0.2023564240968517
41680801223685,7772842.470447712,1429.4707591377696,714.7353795688848,3,3526,0.01839057930959757,0.5,587.6666666666666,714.7353795688848,0.009195289654798785
42267913921260,3792136.0945961634,1830.3048303622772,915.1524151811386,4,1788,0.04826580019030652,0.6666666666666666,298.0,915.1524151811386,0.02413290009515326
43663093839776,8456494.860233257,106816.45600047048,53408.22800023524,395,15828,1.2631292014706452,65.83333333333333,2638.0,53408.22800023524,0.6315646007353226
44895165754023,15898808.309433542,14830.869685561252,7415.434842780626,38,7986,0.09328290144086693,6.333333333333333,1331.0,7415.434842780626,0.046641450720433464
45085383101641,15362182.071610924,7097.491660274268,3548.745830137134,16,7240,0.046201064583073284,2.6666666666666665,1206.6666666666667,3548.745830137134,0.023100532291536642
45293811679196,6308509.7414279,328971.8853475978,164485.9426737989,1020,6904,5.214732144855762,170.0,1150.6666666666667,164485.9426737989,2.607366072427881
45402284997495,15325904.14633884,2355.162165206508,1177.581082603254,5,7144,0.015367198846595459,0.8333333333333334,1190.6666666666667,1177.581082603254,0.0076835994232977295
45855550040191,3861633.7422996135,6581.312624876077,3290.6563124380386,15,1832,0.1704281934556768,2.5,305.3333333333333,3290.6563124380386,0.0852140967278384
46733723803380,15895520.601470439,1091.605240549828,545.802620274914,3,7015,0.006867376463585895,0.5,1169.1666666666667,545.802620274914,0.0034336882317929475
46836613236395,3931630.5271123736,8960.133115380428,4480.066557690214,21,1795,0.22789865562370862,3.5,299.1666666666667,4480.066557690214,0.11394932781185431
47901710600990,4051074.5468395734,9398.3551756212,4699.1775878106,25,1975,0.23199659909870782,4.166666666666667,329.1666666666667,4699.1775878106,0.11599829954935391
48715765064171,7690395.012358982,5096.235492012522,2548.117746006261,13,3632,0.06626753871319391,2.1666666666666665,605.3333333333334,2548.117746006261,0.033133769356596954
49355659834404,8179808.825938417,6082.575224620952,3041.287612310476,12,4088,0.07436084820629213,2.0,681.3333333333334,3041.287612310476,0.037180424103146065
